N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,False,0.1,padic,degree_weighted,13,41,True,46.0,46.0,0.0,46.0,46.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,14,43,True,44.0,44.0,0.0,44.0,44.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,15,47,True,40.0,40.0,0.0,40.0,40.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,16,53,True,34.0,34.0,0.0,34.0,34.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,17,61,True,30.0,30.0,0.0,30.0,30.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,18,59,True,30.0,30.0,0.0,30.0,30.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,19,71,True,26.0,26.0,0.0,26.0,26.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,20,67,True,26.0,26.0,0.0,26.0,26.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,eigenvector,1,2,True,0.6512841422532982,0.6498482443611038,0.0026327838786282406,0.6445777109982208,0.6563387906011223,0.5453914785221503,0.6,False,100,200
1000,2,False,0.1,padic,eigenvector,2,3,True,0.2332028125358158,0.2396893047825039,0.008152499462843528,0.22066641631550543,0.2554951131194303,-0.7956446089020269,0.44,False,100,200
1000,2,False,0.1,padic,eigenvector,3,5,True,0.1075280525583177,0.10491492866370139,0.005667613541693933,0.08986645292970542,0.11737263612595027,0.46106246930790407,0.72,False,100,200
1000,2,False,0.1,padic,eigenvector,4,512,False,0.08381067623693118,0.012241024212937374,0.014821524880932224,1.3168088335302794e-15,0.0668127938385728,4.828764421943359,0.0,False,100,200
1000,2,False,0.1,padic,eigenvector,5,768,False,0.08143156203140665,0.01759501295761511,0.016349939613220996,7.444211705177867e-05,0.06721127655707229,3.9043905105418015,0.0,False,100,200
1000,2,False,0.1,padic,eigenvector,6,256,False,0.07542960861323808,0.012188629641626609,0.013286964594132901,1.070101722271717e-06,0.05822185779601598,4.759625761292137,0.0,False,100,200
1000,2,False,0.1,padic,eigenvector,7,384,False,0.07305049440771351,0.01829411058456984,0.01342294744217617,6.352024693963016e-05,0.05962155015207019,4.079311496899253,0.0,False,100,200
1000,2,False,0.1,padic,eigenvector,8,640,False,0.06981599630272765,0.017423118857596433,0.0146694074806854,9.131697315599758e-05,0.0682495765113317,3.5715742107590063,0.0,False,100,200
1000,2,False,0.1,padic,eigenvector,9,7,True,0.06893038848427428,0.06571575576993685,0.005045992223574987,0.05548373726003601,0.07794246044802722,0.6370665216879611,0.56,False,100,200
1000,2,False,0.1,padic,eigenvector,10,896,False,0.06882260613172807,0.01933317940348343,0.014950598589204223,0.0001780248937611878,0.07616898657851297,3.3101970086990886,0.02,False,100,200
1000,2,False,0.1,padic,eigenvector,11,576,False,0.06767040349310466,0.016567018600607462,0.014390289933895259,2.2938599898661775e-05,0.06783152823258812,3.551240810800272,0.02,False,100,200
1000,2,False,0.1,padic,eigenvector,12,960,False,0.06743688209720308,0.021048619198607243,0.014535238956234865,0.00042462445599862516,0.05911807687787767,3.191434488161453,0.0,False,100,200
1000,2,False,0.1,padic,eigenvector,13,128,False,0.06704854098954496,0.00788676899732099,0.010331070910919326,0.0,0.050226044251174246,5.7265865758111785,0.0,False,100,200
